Form Type,Container Name,Attachment Name,dynamic_container_template_id,Default
FEDERAL_INFORMATION_WORKSHEET,Income - Borrower 1040 Tax Returns w/ All Schedules,Federal Information Worksheet,,false
RD_1924_19_BUILDERS_WARRANTY,UNKNOWN,RD 1924-19 - Builder's Warranty,,true
LOAN_SUBMISSION,UNKNOWN,Loan Submission,,true
A_7036,Income - Borrower 1040 Tax Returns w/ All Schedules,7036,,false
A_1040_SCHEDULE_2_2020,Income - Borrower 1040 Tax Returns w/ All Schedules,{$FIELDS.a_1040_schedule_2_2020-Part1-General:name(s)ShownOnForm10401040-SrOr1040-Nr}_1040_SCHEDULE_2_2020,,false
APPRAISAL_WAIVER_OR_RECEIPT_FORM,UNKNOWN,Appraisal Waiver/Receipt Form,,true
ACKNOWLEDGEMENT_THAT_REAL_PROPERTY_IS_NOT_EXEMPT_FROM_EXECUTION,UNKNOWN,Acknowledgement That Real Property Is Not Exempt From Execution,,true
A_W_8EXP,Income - Borrower 1040 Tax Returns w/ All Schedules,W-8EXP,,false
A_1040_SCHEDULE_2_2024,Income - Borrower 1040 Tax Returns w/ All Schedules,1040_SCHEDULE_2_2024_{$FIELDS.a_1040_schedule_2_2024-Part01-General:name(s)ShownOnForm10401040-SrOr1040-Nr},,false
A_1040_SCHEDULE_2_2023,Income - Borrower 1040 Tax Returns w/ All Schedules,1040_SCHEDULE_2_2023_{$FIELDS.a_1040_schedule_2_2023-Part1-General:name(s)ShownOnForm10401040-SrOr1040-Nr},,false
DRIVERS_LICENSE,Credit - SS Card/Drivers License,{$FIELDS.drivers_license-General:firstName}_{$FIELDS.drivers_license-General:lastName}_DRIVERS_LICENSE,,false
A_1040_SCHEDULE_2_2022,Income - Borrower 1040 Tax Returns w/ All Schedules,1040_SCHEDULE_2_2022_{$FIELDS.a_1040_schedule_2_2022-Part1-General:name(s)ShownOnForm10401040-SrOr1040-Nr},,false
